Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-08-31,Expected Increase,122.04527662037012,543.6198067129629,Exceeded,421.5745300925928
2015-09-30,Expected Increase,480.7761932870371,601.6843900462964,Exceeded,120.90819675925928
2015-10-31,Expected Increase,22.062665509259446,-1114.0597488425926,Failed,1136.122414351852
2015-11-30,Expected Increase,2136.763915509259,-1234.7385821759256,Failed,3371.5024976851846
2015-12-31,Expected Increase,1372.2013321759262,-39.53383217592591,Failed,1411.735164351852
2016-08-31,Expected Increase,122.04527662037012,-1044.4381932870365,Failed,1166.4834699074065
2016-09-30,Expected Increase,480.7761932870371,-299.34285995370345,Failed,780.1190532407405
2016-10-31,Expected Increase,22.062665509259446,535.4432511574078,Exceeded,513.3805856481483
2016-11-30,Expected Increase,2136.763915509259,2773.694417824074,Exceeded,636.9305023148154
2016-12-31,Expected Increase,1372.2013321759262,-990.4746655092592,Failed,2362.6759976851854
2017-08-31,Expected Increase,122.04527662037012,242.3987233796294,Exceeded,120.35344675925927
2017-09-30,Expected Increase,480.7761932870371,-560.7611932870373,Failed,1041.5373865740744
2017-10-31,Expected Increase,22.062665509259446,320.1968344907407,Exceeded,298.13416898148125
2017-11-30,Expected Increase,2136.763915509259,-1797.3754988425926,Failed,3934.1394143518514
2017-12-31,Expected Increase,1372.2013321759262,771.588834490741,Failed,600.6124976851852
2015-07-31,Expected Drop,-863.0569733796295,-316.0217766203706,Exceeded,547.035196759259
2016-01-31,Expected Drop,-976.403945601852,-379.50930439814806,Exceeded,596.8946412037039
2016-02-29,Expected Drop,-403.9589039351851,-598.1957210648145,Below Expected,194.2368171296294
2016-03-31,Expected Drop,-26.240556712962857,-207.24860995370364,Below Expected,181.00805324074076
2016-04-30,Expected Drop,-322.64422337962986,3084.268265046296,Exceeded,3406.912488425926
2016-05-31,Expected Drop,-123.93019560185179,392.8980289351849,Exceeded,516.8282245370367
2016-06-30,Expected Drop,-1417.6145844907405,-411.4790821759259,Exceeded,1006.1355023148146
2016-07-31,Expected Drop,-863.0569733796295,-914.52127662037,Below Expected,51.46430324074049
2017-01-31,Expected Drop,-976.403945601852,-891.5898043981479,Exceeded,84.81414120370414
2017-02-28,Expected Drop,-403.9589039351851,-945.6148460648151,Below Expected,541.6559421296299
2017-03-31,Expected Drop,-26.240556712962857,287.6891400462962,Exceeded,313.92969675925906
2017-04-30,Expected Drop,-322.64422337962986,-1434.4014849537036,Below Expected,1111.7572615740737
2017-05-31,Expected Drop,-123.93019560185179,-60.908887731481045,Exceeded,63.02130787037075
2017-06-30,Expected Drop,-1417.6145844907405,1259.396542824074,Exceeded,2677.0111273148145
2017-07-31,Expected Drop,-863.0569733796295,972.1233900462965,Exceeded,1835.180363425926
2018-01-31,Expected Drop,-976.403945601852,1012.6794456018522,Exceeded,1989.0833912037042
2018-02-28,Expected Drop,-403.9589039351851,1285.3909039351854,Exceeded,1689.3498078703706
2018-03-31,Expected Drop,-26.240556712962857,-338.86019328703674,Below Expected,312.61963657407387
2018-04-30,Expected Drop,-322.64422337962986,-1908.2864432870367,Below Expected,1585.6422199074068
2018-05-31,Expected Drop,-123.93019560185179,-590.4088043981482,Below Expected,466.4786087962964
2018-06-30,Expected Drop,-1417.6145844907405,-1106.3371238425925,Exceeded,311.277460648148
Total,N/A,N/A,N/A,Expected Increase but Failed Total,15804.927895833334
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,2111.281430555556
Total,N/A,N/A,N/A,Below Expected Drop Total,4444.862842592591
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,15037.473349537038
