Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,393.8394467592592,-139.94961342592597,Failed,533.7890601851852
2015-11-30,Expected Increase,295.38864120370374,-309.778474537037,Failed,605.1671157407408
2015-12-31,Expected Increase,396.53533564814813,562.5386643518518,Exceeded,166.0033287037037
2016-04-30,Expected Increase,52.11766898148147,-95.80283564814806,Failed,147.92050462962953
2016-05-31,Expected Increase,73.31730787037039,91.51977546296307,Exceeded,18.202467592592683
2016-09-30,Expected Increase,393.8394467592592,214.0849699074074,Failed,179.7544768518518
2016-11-30,Expected Increase,295.38864120370374,193.0231921296297,Failed,102.36544907407404
2016-12-31,Expected Increase,396.53533564814813,-13.523918981481415,Failed,410.05925462962955
2017-04-30,Expected Increase,52.11766898148147,151.5609976851852,Exceeded,99.44332870370374
2017-05-31,Expected Increase,73.31730787037039,-8.988057870370497,Failed,82.30536574074088
2017-09-30,Expected Increase,393.8394467592592,-98.4446967592591,Failed,492.2841435185183
2017-11-30,Expected Increase,295.38864120370374,92.44594212962966,Failed,202.94269907407408
2017-12-31,Expected Increase,396.53533564814813,-573.3240856481482,Failed,969.8594212962963
2018-04-30,Expected Increase,52.11766898148147,-80.06750231481482,Failed,132.1851712962963
2018-05-31,Expected Increase,73.31730787037039,-106.84105787037022,Failed,180.1583657407406
2015-07-31,Expected Drop,-92.43088657407407,-141.83836342592593,Below Expected,49.40747685185187
2015-08-31,Expected Drop,-179.02644212962963,-120.618474537037,Exceeded,58.40796759259263
2015-10-31,Expected Drop,-75.39341435185187,136.56066435185184,Exceeded,211.95407870370371
2016-01-31,Expected Drop,-285.29480324074075,-52.27353009259252,Exceeded,233.02127314814823
2016-02-29,Expected Drop,-198.9714143518519,117.95691435185196,Exceeded,316.92832870370387
2016-03-31,Expected Drop,-263.94402546296305,-116.02780787037022,Exceeded,147.91621759259283
2016-06-30,Expected Drop,-116.13741435185186,-165.42316898148152,Below Expected,49.285754629629665
2016-07-31,Expected Drop,-92.43088657407407,-181.2751967592592,Below Expected,88.84431018518512
2016-08-31,Expected Drop,-179.02644212962963,74.41419212962961,Exceeded,253.44063425925924
2016-10-31,Expected Drop,-75.39341435185187,-182.24650231481476,Below Expected,106.85308796296289
2017-01-31,Expected Drop,-285.29480324074075,-104.36228009259253,Exceeded,180.93252314814822
2017-02-28,Expected Drop,-198.9714143518519,21.19841435185188,Exceeded,220.16982870370379
2017-03-31,Expected Drop,-263.94402546296305,27.254858796296332,Exceeded,291.1988842592594
2017-06-30,Expected Drop,-116.13741435185186,-279.3161689814814,Below Expected,163.1787546296295
2017-07-31,Expected Drop,-92.43088657407407,298.80421990740746,Exceeded,391.2351064814815
2017-08-31,Expected Drop,-179.02644212962963,21.89494212962967,Exceeded,200.9213842592593
2017-10-31,Expected Drop,-75.39341435185187,21.376497685185285,Exceeded,96.76991203703716
2018-01-31,Expected Drop,-285.29480324074075,132.32646990740744,Exceeded,417.6212731481482
2018-02-28,Expected Drop,-198.9714143518519,-163.46466898148148,Exceeded,35.506745370370425
2018-03-31,Expected Drop,-263.94402546296305,64.4636087962964,Exceeded,328.40763425925945
2018-06-30,Expected Drop,-116.13741435185186,420.42999768518524,Exceeded,536.5674120370371
Total,N/A,N/A,N/A,Expected Increase but Failed Total,4038.791027777777
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,283.64912500000014
Total,N/A,N/A,N/A,Below Expected Drop Total,457.56938425925904
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,3920.999203703705
