Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,4683.008810185185,4073.0726064814826,Failed,609.9362037037026
2015-11-30,Expected Increase,934.9466574074079,982.2205092592601,Exceeded,47.273851851852214
2015-12-31,Expected Increase,4873.900851851853,-4749.305351851853,Failed,9623.206203703707
2016-01-31,Expected Increase,67.71749074074106,-4144.980282407408,Failed,4212.697773148148
2016-04-30,Expected Increase,42.32201851851815,1441.9009398148155,Exceeded,1399.5789212962973
2016-09-30,Expected Increase,4683.008810185185,-4552.110726851852,Failed,9235.119537037037
2016-11-30,Expected Increase,934.9466574074079,-153.73232407407409,Failed,1088.678981481482
2016-12-31,Expected Increase,4873.900851851853,-2267.8062268518524,Failed,7141.7070787037055
2017-01-31,Expected Increase,67.71749074074106,-256.15503240740725,Failed,323.8725231481483
2017-04-30,Expected Increase,42.32201851851815,14.571523148148657,Failed,27.750495370369492
2017-09-30,Expected Increase,4683.008810185185,104.18506481481381,Failed,4578.823745370371
2017-11-30,Expected Increase,934.9466574074079,-1203.3412407407407,Failed,2138.2878981481485
2017-12-31,Expected Increase,4873.900851851853,6642.25852314815,Exceeded,1768.3576712962968
2018-01-31,Expected Increase,67.71749074074106,4026.2822592592597,Exceeded,3958.5647685185186
2018-04-30,Expected Increase,42.32201851851815,-1831.325518518519,Failed,1873.6475370370372
2015-07-31,Expected Drop,-1531.4237453703702,885.9740787037042,Exceeded,2417.3978240740744
2015-08-31,Expected Drop,-1189.830620370371,1711.1866620370379,Exceeded,2901.017282407409
2015-10-31,Expected Drop,-1146.974689814815,-2759.5778101851847,Below Expected,1612.6031203703697
2016-02-29,Expected Drop,-2547.317689814815,1086.016481481482,Exceeded,3633.334171296297
2016-03-31,Expected Drop,-222.8950231481483,3841.5226481481477,Exceeded,4064.4176712962962
2016-05-31,Expected Drop,-2652.2414398148153,231.10968981481574,Exceeded,2883.351129629631
2016-06-30,Expected Drop,-1311.2126203703704,3986.997203703705,Exceeded,5298.209824074075
2016-07-31,Expected Drop,-1531.4237453703702,-345.3265046296299,Exceeded,1186.0972407407403
2016-08-31,Expected Drop,-1189.830620370371,380.01166203703724,Exceeded,1569.8422824074082
2016-10-31,Expected Drop,-1146.974689814815,-461.5010185185183,Exceeded,685.4736712962967
2017-02-28,Expected Drop,-2547.317689814815,1221.190939814815,Exceeded,3768.50862962963
2017-03-31,Expected Drop,-222.8950231481483,-775.5586018518513,Below Expected,552.663578703703
2017-05-31,Expected Drop,-2652.2414398148153,722.7696064814818,Exceeded,3375.011046296297
2017-06-30,Expected Drop,-1311.2126203703704,-1490.8514212962962,Below Expected,179.6388009259258
2017-07-31,Expected Drop,-1531.4237453703702,-915.5006296296294,Exceeded,615.9231157407407
2017-08-31,Expected Drop,-1189.830620370371,-2466.0513796296295,Below Expected,1276.2207592592586
2017-10-31,Expected Drop,-1146.974689814815,2846.2257731481486,Exceeded,3993.2004629629637
2018-02-28,Expected Drop,-2547.317689814815,-2682.0604768518515,Below Expected,134.74278703703658
2018-03-31,Expected Drop,-222.8950231481483,-3440.8171018518515,Below Expected,3217.922078703703
2018-05-31,Expected Drop,-2652.2414398148153,-1328.732351851852,Exceeded,1323.5090879629633
2018-06-30,Expected Drop,-1311.2126203703704,-2870.998837962963,Below Expected,1559.7862175925927
Total,N/A,N/A,N/A,Expected Increase but Failed Total,40853.72797685186
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,7173.775212962964
Total,N/A,N/A,N/A,Below Expected Drop Total,8533.577342592589
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,37715.29343981483
