Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,4140.995773958334,-3528.4547572916676,Failed,7669.450531250002
2015-11-30,Expected Increase,4388.031676736111,970.9982857638888,Failed,3417.033390972222
2016-06-30,Expected Increase,103.58770034722228,-2760.4664545138885,Failed,2864.054154861111
2016-09-30,Expected Increase,4140.995773958334,3436.507176041666,Failed,704.4885979166684
2016-11-30,Expected Increase,4388.031676736111,269.2253940972214,Failed,4118.80628263889
2017-06-30,Expected Increase,103.58770034722228,259.6855829861107,Exceeded,156.09788263888845
2017-09-30,Expected Increase,4140.995773958334,379.5198927083329,Failed,3761.4758812500013
2017-11-30,Expected Increase,4388.031676736111,-952.6513684027773,Failed,5340.683045138889
2018-06-30,Expected Increase,103.58770034722228,2788.3531829861113,Exceeded,2684.765482638889
2015-07-31,Expected Drop,-117.20064548611106,-97.96584618055556,Exceeded,19.234799305555498
2015-08-31,Expected Drop,-698.696595486111,-254.81325451388864,Exceeded,443.8833409722224
2015-10-31,Expected Drop,-1075.0977843750002,-135.77972395833308,Exceeded,939.3180604166671
2015-12-31,Expected Drop,-195.3316079861114,1303.3423329861112,Exceeded,1498.6739409722227
2016-01-31,Expected Drop,-1255.132934375,1067.9788677083336,Exceeded,2323.1118020833337
2016-02-29,Expected Drop,-2151.0043621527775,260.2810621527774,Exceeded,2411.285424305555
2016-03-31,Expected Drop,-959.4774593750002,555.8977510416665,Exceeded,1515.3752104166667
2016-04-30,Expected Drop,-1308.1532482638888,-871.9858684027784,Exceeded,436.1673798611105
2016-05-31,Expected Drop,-872.5205135416667,-349.30578229166656,Exceeded,523.2147312500001
2016-07-31,Expected Drop,-117.20064548611106,-163.59194618055528,Below Expected,46.391300694444226
2016-08-31,Expected Drop,-698.696595486111,1346.2030204861112,Exceeded,2044.8996159722224
2016-10-31,Expected Drop,-1075.0977843750002,160.6645427083331,Exceeded,1235.7623270833333
2016-12-31,Expected Drop,-195.3316079861114,-197.36068368055533,Below Expected,2.029075694443918
2017-01-31,Expected Drop,-1255.132934375,375.0106927083332,Exceeded,1630.1436270833333
2017-02-28,Expected Drop,-2151.0043621527775,-580.237029513889,Exceeded,1570.7673326388885
2017-03-31,Expected Drop,-959.4774593750002,-616.9320781249995,Exceeded,342.5453812500007
2017-04-30,Expected Drop,-1308.1532482638888,398.72071493055614,Exceeded,1706.873963194445
2017-05-31,Expected Drop,-872.5205135416667,-1482.4274697916662,Below Expected,609.9069562499996
2017-07-31,Expected Drop,-117.20064548611106,549.1301038194446,Exceeded,666.3307493055556
2017-08-31,Expected Drop,-698.696595486111,-803.8174545138885,Below Expected,105.12085902777744
2017-10-31,Expected Drop,-1075.0977843750002,262.6874927083343,Exceeded,1337.7852770833344
2017-12-31,Expected Drop,-195.3316079861114,-818.409337847222,Below Expected,623.0777298611106
2018-01-31,Expected Drop,-1255.132934375,-1155.4172489583327,Exceeded,99.71568541666738
2018-02-28,Expected Drop,-2151.0043621527775,607.5282788194447,Exceeded,2758.532640972222
2018-03-31,Expected Drop,-959.4774593750002,348.60663854166694,Exceeded,1308.0840979166671
2018-04-30,Expected Drop,-1308.1532482638888,760.8374649305558,Exceeded,2068.9907131944447
2018-05-31,Expected Drop,-872.5205135416667,2119.3055635416667,Exceeded,2991.8260770833335
Total,N/A,N/A,N/A,Expected Increase but Failed Total,27875.991884027782
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,2840.863365277777
Total,N/A,N/A,N/A,Below Expected Drop Total,1386.5259215277756
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,29872.52217777778
