Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,4755.728008101852,2658.789700231482,Failed,2096.9383078703695
2015-11-30,Expected Increase,4624.7173692129645,-3881.0317025462964,Failed,8505.749071759261
2015-12-31,Expected Increase,7635.218271990742,3082.191103009257,Failed,4553.027168981485
2016-05-31,Expected Increase,633.5788414351852,-1191.8425081018509,Failed,1825.421349537036
2016-09-30,Expected Increase,4755.728008101852,-1730.5547164351847,Failed,6486.282724537036
2016-11-30,Expected Increase,4624.7173692129645,1821.7557141203688,Failed,2802.9616550925957
2016-12-31,Expected Increase,7635.218271990742,-3672.18552199074,Failed,11307.403793981483
2017-05-31,Expected Increase,633.5788414351852,345.753533564813,Failed,287.82530787037217
2017-09-30,Expected Increase,4755.728008101852,-977.3734247685188,Failed,5733.10143287037
2017-11-30,Expected Increase,4624.7173692129645,2010.1375474537035,Failed,2614.579821759261
2017-12-31,Expected Increase,7635.218271990742,540.8559780092583,Failed,7094.362293981484
2018-05-31,Expected Increase,633.5788414351852,796.9505335648158,Exceeded,163.37169212963067
2015-07-31,Expected Drop,-120.99045023148209,104.5982002314813,Exceeded,225.5886504629634
2015-08-31,Expected Drop,-3637.600686342593,-389.60564699073984,Exceeded,3247.995039351853
2015-10-31,Expected Drop,-1.492880787036178,77.05367245370385,Exceeded,78.54655324074002
2016-01-31,Expected Drop,-4115.384130787036,910.0090057870366,Exceeded,5025.393136574073
2016-02-29,Expected Drop,-4075.26196412037,-261.70986921296117,Exceeded,3813.552094907409
2016-03-31,Expected Drop,-1645.259741898148,-471.23704976851764,Exceeded,1174.0226921296303
2016-04-30,Expected Drop,-1591.5010891203701,-138.93311921296208,Exceeded,1452.567969907408
2016-06-30,Expected Drop,-2461.751547453704,221.83392245370305,Exceeded,2683.585469907407
2016-07-31,Expected Drop,-120.99045023148209,1615.1857835648152,Exceeded,1736.1762337962973
2016-08-31,Expected Drop,-3637.600686342593,-658.0013136574071,Exceeded,2979.5993726851857
2016-10-31,Expected Drop,-1.492880787036178,712.4929224537042,Exceeded,713.9858032407403
2017-01-31,Expected Drop,-4115.384130787036,-444.1713275462962,Exceeded,3671.21280324074
2017-02-28,Expected Drop,-4075.26196412037,-383.15045254629695,Exceeded,3692.111511574073
2017-03-31,Expected Drop,-1645.259741898148,750.2227418981468,Exceeded,2395.4824837962947
2017-04-30,Expected Drop,-1591.5010891203701,4099.677130787036,Exceeded,5691.178219907406
2017-06-30,Expected Drop,-2461.751547453704,-1536.2819108796302,Exceeded,925.4696365740738
2017-07-31,Expected Drop,-120.99045023148209,-1768.9224247685188,Below Expected,1647.9319745370367
2017-08-31,Expected Drop,-3637.600686342593,998.4685196759247,Exceeded,4636.069206018517
2017-10-31,Expected Drop,-1.492880787036178,-838.6850358796304,Below Expected,837.1921550925942
2018-01-31,Expected Drop,-4115.384130787036,-514.9761192129636,Exceeded,3600.4080115740726
2018-02-28,Expected Drop,-4075.26196412037,595.7218807870372,Exceeded,4670.983844907407
2018-03-31,Expected Drop,-1645.259741898148,-328.1241331018516,Exceeded,1317.1356087962963
2018-04-30,Expected Drop,-1591.5010891203701,-4009.882452546296,Below Expected,2418.381363425926
2018-06-30,Expected Drop,-2461.751547453704,1265.309547453705,Exceeded,3727.061094907409
Total,N/A,N/A,N/A,Expected Increase but Failed Total,53307.65292824075
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,163.37169212963067
Total,N/A,N/A,N/A,Below Expected Drop Total,4903.505493055557
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,57458.1254375
