Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-12-31,Expected Increase,939.0541585648149,-703.2244085648146,Failed,1642.2785671296294
2016-03-31,Expected Increase,5384.325019675926,-2718.543436342593,Failed,8102.868456018519
2016-05-31,Expected Increase,1581.033491898148,-383.1373252314813,Failed,1964.1708171296293
2016-10-31,Expected Increase,8009.471491898149,-8933.631325231483,Failed,16943.10281712963
2016-12-31,Expected Increase,939.0541585648149,4679.166591435185,Exceeded,3740.1124328703704
2017-03-31,Expected Increase,5384.325019675926,-7885.11785300926,Failed,13269.442872685187
2017-05-31,Expected Increase,1581.033491898148,3331.0653414351855,Exceeded,1750.0318495370375
2017-10-31,Expected Increase,8009.471491898149,9133.781008101854,Exceeded,1124.3095162037052
2017-12-31,Expected Increase,939.0541585648149,-3675.717658564815,Failed,4614.77181712963
2018-03-31,Expected Increase,5384.325019675926,10903.885813657409,Exceeded,5519.560793981483
2018-05-31,Expected Increase,1581.033491898148,-2647.703491898148,Failed,4228.736983796296
2015-11-30,Expected Drop,-2165.88353587963,690.9152858796299,Exceeded,2856.79882175926
2016-01-31,Expected Drop,-1821.4483136574077,303.1483136574079,Exceeded,2124.5966273148156
2016-02-29,Expected Drop,-3174.058896990741,1635.3421469907407,Exceeded,4809.401043981481
2016-04-30,Expected Drop,-1959.5121747685187,3058.6295081018525,Exceeded,5018.141682870371
2016-06-30,Expected Drop,-3492.5390081018527,2467.5502581018527,Exceeded,5960.089266203706
2016-07-31,Expected Drop,-313.41929976851867,-1908.2002002314816,Below Expected,1594.780900462963
2016-08-31,Expected Drop,-1845.881258101852,2384.2230914351853,Exceeded,4230.104349537038
2016-09-30,Expected Drop,-1141.1416747685184,1377.3885914351854,Exceeded,2518.530266203704
2016-11-30,Expected Drop,-2165.88353587963,1705.057702546297,Exceeded,3870.9412384259267
2017-01-31,Expected Drop,-1821.4483136574077,298.1198969907414,Exceeded,2119.568210648149
2017-02-28,Expected Drop,-3174.058896990741,568.2655636574077,Exceeded,3742.3244606481485
2017-04-30,Expected Drop,-1959.5121747685187,-268.797991898148,Exceeded,1690.7141828703707
2017-06-30,Expected Drop,-3492.5390081018527,-593.2467418981478,Exceeded,2899.292266203705
2017-07-31,Expected Drop,-313.41929976851867,2108.3498831018524,Exceeded,2421.769182870371
2017-08-31,Expected Drop,-1845.881258101852,-2184.0734085648146,Below Expected,338.1921504629627
2017-09-30,Expected Drop,-1141.1416747685184,-1177.2389085648147,Below Expected,36.09723379629622
2017-11-30,Expected Drop,-2165.88353587963,-2095.7484641203696,Exceeded,70.13507175926043
2018-01-31,Expected Drop,-1821.4483136574077,-301.04368634259254,Exceeded,1520.4046273148151
2018-02-28,Expected Drop,-3174.058896990741,-1903.3831863425935,Exceeded,1270.6757106481473
2018-04-30,Expected Drop,-1959.5121747685187,-2489.6069918981484,Below Expected,530.0948171296297
2018-06-30,Expected Drop,-3492.5390081018527,-1574.0789918981477,Exceeded,1918.460016203705
Total,N/A,N/A,N/A,Expected Increase but Failed Total,50765.37233101852
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,12134.014592592595
Total,N/A,N/A,N/A,Below Expected Drop Total,2499.1651018518514
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,49041.947025462956
