Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,22.253210648148148,20.906289351851868,Failed,1.34692129629628
2015-10-31,Expected Increase,25.75340509259258,-23.94990509259258,Failed,49.70331018518516
2015-11-30,Expected Increase,79.1389050925926,-58.540905092592595,Failed,137.6798101851852
2015-12-31,Expected Increase,26.45457175925926,4.047011574074077,Failed,22.407560185185183
2016-09-30,Expected Increase,22.253210648148148,-8.779543981481481,Failed,31.03275462962963
2016-10-31,Expected Increase,25.75340509259258,-57.74465509259258,Failed,83.49806018518515
2016-11-30,Expected Increase,79.1389050925926,19.798594907407406,Failed,59.34031018518519
2016-12-31,Expected Increase,26.45457175925926,15.30651157407408,Failed,11.14806018518518
2017-09-30,Expected Increase,22.253210648148148,-15.339710648148149,Failed,37.592921296296296
2017-10-31,Expected Increase,25.75340509259258,78.48159490740741,Exceeded,52.72818981481483
2017-11-30,Expected Increase,79.1389050925926,35.52934490740742,Failed,43.609560185185174
2017-12-31,Expected Increase,26.45457175925926,-22.566488425925918,Failed,49.02106018518518
2015-07-31,Expected Drop,-2.7912893518518493,-26.179710648148156,Below Expected,23.388421296296308
2015-08-31,Expected Drop,-1.0929282407407426,35.21309490740741,Exceeded,36.30602314814815
2016-01-31,Expected Drop,-41.91906712962963,-5.084766203703701,Exceeded,36.83430092592593
2016-02-29,Expected Drop,-8.559428240740736,-31.11923842592593,Below Expected,22.559810185185192
2016-03-31,Expected Drop,-24.37415046296296,51.317400462962965,Exceeded,75.69155092592592
2016-04-30,Expected Drop,-7.094178240740736,-1.3004050925926007,Exceeded,5.793773148148135
2016-05-31,Expected Drop,-28.34190046296297,19.281900462962962,Exceeded,47.623800925925934
2016-06-30,Expected Drop,-39.42715046296296,5.057233796296302,Exceeded,44.484384259259265
2016-07-31,Expected Drop,-2.7912893518518493,8.212956018518517,Exceeded,11.004245370370366
2016-08-31,Expected Drop,-1.0929282407407426,-25.059821759259247,Below Expected,23.966893518518503
2017-01-31,Expected Drop,-41.91906712962963,-5.400932870370369,Exceeded,36.51813425925926
2017-02-28,Expected Drop,-8.559428240740736,22.399594907407398,Exceeded,30.959023148148134
2017-03-31,Expected Drop,-24.37415046296296,-28.718016203703712,Below Expected,4.343865740740753
2017-04-30,Expected Drop,-7.094178240740736,36.32809490740741,Exceeded,43.42227314814815
2017-05-31,Expected Drop,-28.34190046296297,-28.69459953703703,Below Expected,0.3526990740740601
2017-06-30,Expected Drop,-39.42715046296296,-8.404266203703706,Exceeded,31.022884259259257
2017-07-31,Expected Drop,-2.7912893518518493,14.75378935185187,Exceeded,17.54507870370372
2017-08-31,Expected Drop,-1.0929282407407426,-13.366238425925932,Below Expected,12.273310185185188
2018-01-31,Expected Drop,-41.91906712962963,7.272733796296301,Exceeded,49.19180092592593
2018-02-28,Expected Drop,-8.559428240740736,5.5066782407407615,Exceeded,14.066106481481498
2018-03-31,Expected Drop,-24.37415046296296,-25.812349537037015,Below Expected,1.4381990740740562
2018-04-30,Expected Drop,-7.094178240740736,-38.240655092592576,Below Expected,31.14647685185184
2018-05-31,Expected Drop,-28.34190046296297,6.1997337962963,Exceeded,34.54163425925927
2018-06-30,Expected Drop,-39.42715046296296,0.13406712962964207,Exceeded,39.561217592592605
Total,N/A,N/A,N/A,Expected Increase but Failed Total,526.3803287037036
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,52.72818981481483
Total,N/A,N/A,N/A,Below Expected Drop Total,119.46967592592588
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,554.5662314814816
