Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,1101.3044513888894,650.350131944444,Failed,450.95431944444545
2015-11-30,Expected Increase,1554.4933958333331,-612.4540625,Failed,2166.947458333333
2015-12-31,Expected Increase,1560.0490902777779,-1051.7689236111112,Failed,2611.8180138888893
2016-04-30,Expected Increase,290.5683680555556,1127.1146319444447,Exceeded,836.5462638888891
2016-09-30,Expected Increase,1101.3044513888894,-1068.026451388889,Failed,2169.3309027777786
2016-11-30,Expected Increase,1554.4933958333331,308.05052083333385,Failed,1246.4428749999993
2016-12-31,Expected Increase,1560.0490902777779,-706.343673611111,Failed,2266.392763888889
2017-04-30,Expected Increase,290.5683680555556,-1278.9817847222225,Failed,1569.550152777778
2017-09-30,Expected Increase,1101.3044513888894,374.7145486111108,Failed,726.5899027777787
2017-11-30,Expected Increase,1554.4933958333331,261.44177083333307,Failed,1293.051625
2017-12-31,Expected Increase,1560.0490902777779,1715.1508263888886,Exceeded,155.10173611111077
2018-04-30,Expected Increase,290.5683680555556,108.90538194444451,Failed,181.66298611111108
2015-07-31,Expected Drop,-308.35157638888865,50.241743055555446,Exceeded,358.5933194444441
2015-08-31,Expected Drop,-821.9361041666668,642.4324375000002,Exceeded,1464.3685416666672
2015-10-31,Expected Drop,-512.4539375000002,-198.57597916666634,Exceeded,313.8779583333338
2016-01-31,Expected Drop,-768.8402708333333,374.18185416666665,Exceeded,1143.022125
2016-02-29,Expected Drop,-1276.640409722222,-196.63650694444482,Exceeded,1080.0039027777773
2016-03-31,Expected Drop,-326.0591875000003,138.58368749999983,Exceeded,464.6428750000001
2016-05-31,Expected Drop,-7.571187500000139,-83.8604791666667,Below Expected,76.28929166666657
2016-06-30,Expected Drop,-484.56263194444426,1117.084548611111,Exceeded,1601.6471805555552
2016-07-31,Expected Drop,-308.35157638888865,57.13157638888862,Exceeded,365.48315277777726
2016-08-31,Expected Drop,-821.9361041666668,-98.19072916666664,Exceeded,723.7453750000002
2016-10-31,Expected Drop,-512.4539375000002,-600.6555625000001,Below Expected,88.20162499999992
2017-01-31,Expected Drop,-768.8402708333333,200.73385416666656,Exceeded,969.5741249999999
2017-02-28,Expected Drop,-1276.640409722222,480.17932638888885,Exceeded,1756.819736111111
2017-03-31,Expected Drop,-326.0591875000003,881.0371875000001,Exceeded,1207.0963750000003
2017-05-31,Expected Drop,-7.571187500000139,652.9778541666665,Exceeded,660.5490416666667
2017-06-30,Expected Drop,-484.56263194444426,-641.3926180555557,Below Expected,156.8299861111114
2017-07-31,Expected Drop,-308.35157638888865,-150.3350902777774,Exceeded,158.01648611111125
2017-08-31,Expected Drop,-821.9361041666668,-587.2034791666667,Exceeded,234.7326250000001
2017-10-31,Expected Drop,-512.4539375000002,756.2697708333333,Exceeded,1268.7237083333334
2018-01-31,Expected Drop,-768.8402708333333,-617.8774791666667,Exceeded,150.9627916666666
2018-02-28,Expected Drop,-1276.640409722222,-326.50459027777765,Exceeded,950.1358194444445
2018-03-31,Expected Drop,-326.0591875000003,-1062.5826458333333,Below Expected,736.5234583333331
2018-05-31,Expected Drop,-7.571187500000139,-612.0791458333331,Below Expected,604.5079583333329
2018-06-30,Expected Drop,-484.56263194444426,-518.6537013888885,Below Expected,34.09106944444426
Total,N/A,N/A,N/A,Expected Increase but Failed Total,14682.741000000002
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,991.6479999999999
Total,N/A,N/A,N/A,Below Expected Drop Total,1696.4433888888882
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,14871.99513888889
