Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-08-31,Expected Increase,73.36812268518517,631.6475439814817,Exceeded,558.2794212962965
2015-09-30,Expected Increase,506.80565046296283,-298.3368171296295,Failed,805.1424675925923
2015-11-30,Expected Increase,1281.392789351852,855.434710648148,Failed,425.9580787037039
2015-12-31,Expected Increase,904.6504560185184,-113.24353935185161,Failed,1017.89399537037
2016-03-31,Expected Increase,55.293094907407315,270.13190509259266,Exceeded,214.83881018518534
2016-05-31,Expected Increase,190.53956712962986,-148.27123379629643,Failed,338.8108009259263
2016-06-30,Expected Increase,80.76698379629644,-801.0794004629631,Failed,881.8463842592596
2016-08-31,Expected Increase,73.36812268518517,60.83012731481497,Failed,12.537995370370197
2016-09-30,Expected Increase,506.80565046296283,173.31943287037052,Failed,333.4862175925923
2016-11-30,Expected Increase,1281.392789351852,181.15596064814827,Failed,1100.2368287037036
2016-12-31,Expected Increase,904.6504560185184,508.14262731481506,Failed,396.50782870370335
2017-03-31,Expected Increase,55.293094907407315,-833.6753449074071,Failed,888.9684398148144
2017-05-31,Expected Increase,190.53956712962986,687.7474328703706,Exceeded,497.2078657407408
2017-06-30,Expected Increase,80.76698379629644,945.0918495370372,Exceeded,864.3248657407407
2017-08-31,Expected Increase,73.36812268518517,-674.9862060185185,Failed,748.3543287037037
2017-09-30,Expected Increase,506.80565046296283,142.50884953703735,Failed,364.2968009259255
2017-11-30,Expected Increase,1281.392789351852,-1019.0992060185185,Failed,2300.49199537037
2017-12-31,Expected Increase,904.6504560185184,-377.4076226851852,Failed,1282.0580787037036
2018-03-31,Expected Increase,55.293094907407315,581.0349050925927,Exceeded,525.7418101851854
2018-05-31,Expected Increase,190.53956712962986,-521.984733796296,Failed,712.5243009259259
2018-06-30,Expected Increase,80.76698379629644,-126.5209837962959,Failed,207.28796759259234
2015-07-31,Expected Drop,-488.599127314815,79.92171064814846,Exceeded,568.5208379629635
2015-10-31,Expected Drop,-422.71404398148155,170.1203773148149,Exceeded,592.8344212962965
2016-01-31,Expected Drop,-929.1693773148149,190.1372939814819,Exceeded,1119.3066712962968
2016-02-29,Expected Drop,-691.8812939814813,-277.5545393518519,Exceeded,414.3267546296295
2016-04-30,Expected Drop,-560.4528217592593,-191.81267824074087,Exceeded,368.64014351851847
2016-07-31,Expected Drop,-488.599127314815,-300.8749560185183,Exceeded,187.72417129629673
2016-10-31,Expected Drop,-422.71404398148155,-216.2316226851853,Exceeded,206.48242129629625
2017-01-31,Expected Drop,-929.1693773148149,-159.70895601851817,Exceeded,769.4604212962968
2017-02-28,Expected Drop,-691.8812939814813,170.9370439814818,Exceeded,862.8183379629631
2017-04-30,Expected Drop,-560.4528217592593,75.11598842592605,Exceeded,635.5688101851854
2017-07-31,Expected Drop,-488.599127314815,238.44471064814826,Exceeded,727.0438379629633
2017-10-31,Expected Drop,-422.71404398148155,63.6027106481485,Exceeded,486.31675462963005
2018-01-31,Expected Drop,-929.1693773148149,-12.936872685185108,Exceeded,916.2325046296298
2018-02-28,Expected Drop,-691.8812939814813,124.10896064814824,Exceeded,815.9902546296296
2018-04-30,Expected Drop,-560.4528217592593,134.1881550925931,Exceeded,694.6409768518524
Total,N/A,N/A,N/A,Expected Increase but Failed Total,11816.402509259256
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,2660.392773148149
Total,N/A,N/A,N/A,Below Expected Drop Total,0.0
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,9365.90731944445
