Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,1194.1742106481481,-3721.9453773148152,Failed,4916.119587962963
2015-11-30,Expected Increase,6772.7865995370385,8584.554400462963,Exceeded,1811.7678009259243
2015-12-31,Expected Increase,3557.1485717592586,-3489.5323217592586,Failed,7046.680893518517
2016-03-31,Expected Increase,753.5819050925927,-2418.593488425927,Failed,3172.1753935185197
2016-09-30,Expected Increase,1194.1742106481481,3176.614122685186,Exceeded,1982.4399120370379
2016-11-30,Expected Increase,6772.7865995370385,-4898.916516203706,Failed,11671.703115740744
2016-12-31,Expected Increase,3557.1485717592586,-255.06615509259245,Failed,3812.214726851851
2017-03-31,Expected Increase,753.5819050925927,2863.3455115740735,Exceeded,2109.7636064814806
2017-09-30,Expected Increase,1194.1742106481481,-13.87254398148184,Failed,1208.04675462963
2017-11-30,Expected Increase,6772.7865995370385,-4244.841682870371,Failed,11017.62828240741
2017-12-31,Expected Increase,3557.1485717592586,3185.39467824074,Failed,371.75389351851845
2018-03-31,Expected Increase,753.5819050925927,-1003.9558217592582,Failed,1757.537726851851
2015-07-31,Expected Drop,-1369.8932615740737,-1036.5235717592586,Exceeded,333.36968981481505
2015-08-31,Expected Drop,-315.46559490740765,-544.085238425926,Below Expected,228.6196435185184
2015-10-31,Expected Drop,-304.7102337962965,2087.4891504629636,Exceeded,2392.19938425926
2016-01-31,Expected Drop,-2615.461844907408,-2339.110738425925,Exceeded,276.35110648148293
2016-02-29,Expected Drop,-3663.725733796297,-317.4501828703701,Exceeded,3346.275550925927
2016-04-30,Expected Drop,-3091.9511782407412,1943.4135115740742,Exceeded,5035.364689814815
2016-05-31,Expected Drop,-597.2159004629626,-1021.2185995370377,Below Expected,424.00269907407505
2016-06-30,Expected Drop,-319.2675393518516,-1395.4389606481482,Below Expected,1076.1714212962966
2016-07-31,Expected Drop,-1369.8932615740737,387.24526157407445,Exceeded,1757.1385231481481
2016-08-31,Expected Drop,-315.46559490740765,1942.0070115740746,Exceeded,2257.472606481482
2016-10-31,Expected Drop,-304.7102337962965,124.83465046296305,Exceeded,429.54488425925956
2017-01-31,Expected Drop,-2615.461844907408,-1516.933238425925,Exceeded,1098.5286064814827
2017-02-28,Expected Drop,-3663.725733796297,135.4789837962976,Exceeded,3799.2047175925945
2017-04-30,Expected Drop,-3091.9511782407412,-177.73673842592552,Exceeded,2914.2144398148157
2017-05-31,Expected Drop,-597.2159004629626,2490.2369837962965,Exceeded,3087.452884259259
2017-06-30,Expected Drop,-319.2675393518516,1073.3088726851852,Exceeded,1392.5764120370368
2017-07-31,Expected Drop,-1369.8932615740737,90.0745115740724,Exceeded,1459.967773148146
2017-08-31,Expected Drop,-315.46559490740765,-1957.1255717592594,Below Expected,1641.6599768518518
2017-10-31,Expected Drop,-304.7102337962965,-2771.5275995370375,Below Expected,2466.817365740741
2018-01-31,Expected Drop,-2615.461844907408,3296.84017824074,Exceeded,5912.302023148148
2018-02-28,Expected Drop,-3663.725733796297,-377.232599537037,Exceeded,3286.49313425926
2018-04-30,Expected Drop,-3091.9511782407412,-2324.880571759258,Exceeded,767.0706064814831
2018-05-31,Expected Drop,-597.2159004629626,-2028.22218287037,Below Expected,1431.0062824074075
2018-06-30,Expected Drop,-319.2675393518516,-237.07371064814788,Exceeded,82.19382870370373
Total,N/A,N/A,N/A,Expected Increase but Failed Total,44973.860375000004
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,5903.971319444443
Total,N/A,N/A,N/A,Below Expected Drop Total,7268.2773888888905
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,39627.72086111112
