Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-09-30,Expected Increase,3873.126171296297,1060.6015787037031,Failed,2812.5245925925938
2015-11-30,Expected Increase,3974.6380601851856,3595.539189814815,Failed,379.0988703703706
2015-12-31,Expected Increase,1976.3380046296293,-924.6706712962964,Failed,2901.0086759259257
2016-05-31,Expected Increase,13.060754629629457,-779.0767546296286,Failed,792.137509259258
2016-09-30,Expected Increase,3873.126171296297,1242.5032453703707,Failed,2630.622925925926
2016-11-30,Expected Increase,3974.6380601851856,-1553.337476851852,Failed,5527.975537037038
2016-12-31,Expected Increase,1976.3380046296293,-2465.577171296296,Failed,4441.915175925926
2017-05-31,Expected Increase,13.060754629629457,1816.5079120370376,Exceeded,1803.4471574074082
2017-09-30,Expected Increase,3873.126171296297,-2096.962087962963,Failed,5970.08825925926
2017-11-30,Expected Increase,3974.6380601851856,-1836.0589768518525,Failed,5810.697037037038
2017-12-31,Expected Increase,1976.3380046296293,3596.3905787037043,Exceeded,1620.052574074075
2018-05-31,Expected Increase,13.060754629629457,-831.288421296297,Failed,844.3491759259264
2015-07-31,Expected Drop,-1073.293162037037,-470.51383796296227,Exceeded,602.7793240740748
2015-08-31,Expected Drop,-559.3708564814817,-1042.5240601851854,Below Expected,483.15320370370364
2015-10-31,Expected Drop,-608.1567453703703,614.9929953703702,Exceeded,1223.1497407407405
2016-01-31,Expected Drop,-2534.5753564814813,-678.8318101851846,Exceeded,1855.7435462962967
2016-02-29,Expected Drop,-2631.7195787037035,-379.98833796296276,Exceeded,2251.7312407407408
2016-03-31,Expected Drop,-1542.8985231481483,-84.98972685185163,Exceeded,1457.9087962962967
2016-04-30,Expected Drop,-869.3253842592592,-1080.69736574074,Below Expected,211.37198148148082
2016-06-30,Expected Drop,-17.82338425925932,-816.1754490740728,Below Expected,798.3520648148135
2016-07-31,Expected Drop,-1073.293162037037,-860.752004629629,Exceeded,212.54115740740804
2016-08-31,Expected Drop,-559.3708564814817,3124.800856481482,Exceeded,3684.1717129629633
2016-10-31,Expected Drop,-608.1567453703703,-130.3727546296293,Exceeded,477.78399074074105
2017-01-31,Expected Drop,-2534.5753564814813,298.4023564814811,Exceeded,2832.9777129629624
2017-02-28,Expected Drop,-2631.7195787037035,1458.43999537037,Exceeded,4090.1595740740736
2017-03-31,Expected Drop,-1542.8985231481483,155.10502314814812,Exceeded,1698.0035462962965
2017-04-30,Expected Drop,-869.3253842592592,466.39138425925944,Exceeded,1335.7167685185186
2017-06-30,Expected Drop,-17.82338425925932,-877.9011990740743,Below Expected,860.0778148148149
2017-07-31,Expected Drop,-1073.293162037037,1537.4085787037036,Exceeded,2610.7017407407407
2017-08-31,Expected Drop,-559.3708564814817,-1876.1340601851846,Below Expected,1316.7632037037029
2017-10-31,Expected Drop,-608.1567453703703,-278.47750462962927,Exceeded,329.6792407407411
2018-01-31,Expected Drop,-2534.5753564814813,586.5721898148149,Exceeded,3121.1475462962962
2018-02-28,Expected Drop,-2631.7195787037035,-872.3089212962968,Exceeded,1759.4106574074067
2018-03-31,Expected Drop,-1542.8985231481483,136.0274398148149,Exceeded,1678.9259629629632
2018-04-30,Expected Drop,-869.3253842592592,820.4487175925922,Exceeded,1689.7741018518514
2018-06-30,Expected Drop,-17.82338425925932,1900.219384259259,Exceeded,1918.0427685185182
Total,N/A,N/A,N/A,Expected Increase but Failed Total,32110.41775925926
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,3423.499731481483
Total,N/A,N/A,N/A,Below Expected Drop Total,3669.7182685185157
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,34830.34912962963
