Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2016-01-31,Expected Increase,809.1767002314814,-1245.0730335648148,Failed,2054.249733796296
2016-03-31,Expected Increase,2926.6759780092593,-3093.1043113425926,Failed,6019.780289351852
2016-04-30,Expected Increase,11.083116898148091,-196.62778356481473,Failed,207.71090046296283
2017-01-31,Expected Increase,809.1767002314814,-1869.682116898148,Failed,2678.8588171296296
2017-03-31,Expected Increase,2926.6759780092593,4881.103105324075,Exceeded,1954.4271273148156
2017-04-30,Expected Increase,11.083116898148091,89.35921643518509,Exceeded,78.276099537037
2018-01-31,Expected Increase,809.1767002314814,2642.2882997685183,Exceeded,1833.111599537037
2018-03-31,Expected Increase,2926.6759780092593,-2260.465644675926,Failed,5187.141622685185
2018-04-30,Expected Increase,11.083116898148091,-365.1982835648146,Failed,376.28140046296267
2015-08-31,Expected Drop,-590.0286053240741,-445.10922800925914,Exceeded,144.91937731481494
2015-09-30,Expected Drop,-356.3704386574075,-433.81706134259264,Below Expected,77.44662268518516
2015-10-31,Expected Drop,-549.7347442129629,64.11449421296322,Exceeded,613.8492384259262
2015-11-30,Expected Drop,-465.9352719907406,55.27485532407417,Exceeded,521.2101273148148
2015-12-31,Expected Drop,-187.21096643518504,-644.118866898148,Below Expected,456.90790046296297
2016-02-29,Expected Drop,-531.9295219907408,351.11902199074075,Exceeded,883.0485439814815
2016-05-31,Expected Drop,-324.0753831018519,608.3467997685186,Exceeded,932.4221828703705
2016-06-30,Expected Drop,-285.6138553240743,127.88985532407429,Exceeded,413.50371064814857
2016-07-31,Expected Drop,-456.03700810185194,354.79017476851857,Exceeded,810.8271828703705
2016-08-31,Expected Drop,-590.0286053240741,529.9751886574074,Exceeded,1120.0037939814815
2016-09-30,Expected Drop,-356.3704386574075,749.8652719907409,Exceeded,1106.2357106481484
2016-10-31,Expected Drop,-549.7347442129629,-274.20033912037036,Exceeded,275.5344050925926
2016-11-30,Expected Drop,-465.9352719907406,-411.1173946759259,Exceeded,54.81787731481472
2016-12-31,Expected Drop,-187.21096643518504,-786.7931168981482,Below Expected,599.5821504629632
2017-02-28,Expected Drop,-531.9295219907408,-523.5343946759258,Exceeded,8.395127314815
2017-05-31,Expected Drop,-324.0753831018519,-525.2755335648149,Below Expected,201.20015046296294
2017-06-30,Expected Drop,-285.6138553240743,295.518855324074,Exceeded,581.1327106481483
2017-07-31,Expected Drop,-456.03700810185194,-669.7680752314815,Below Expected,213.73106712962954
2017-08-31,Expected Drop,-590.0286053240741,-557.3328113425925,Exceeded,32.69579398148153
2017-09-30,Expected Drop,-356.3704386574075,-788.5150613425924,Below Expected,432.1446226851849
2017-10-31,Expected Drop,-549.7347442129629,-262.3810057870371,Exceeded,287.3537384259258
2017-11-30,Expected Drop,-465.9352719907406,-116.62431134259282,Exceeded,349.3109606481478
2017-12-31,Expected Drop,-187.21096643518504,958.4451331018518,Exceeded,1145.6560995370369
2018-02-28,Expected Drop,-531.9295219907408,-300.0514780092593,Exceeded,231.87804398148148
2018-05-31,Expected Drop,-324.0753831018519,-555.538116898148,Below Expected,231.4627337962961
2018-06-30,Expected Drop,-285.6138553240743,-895.8755613425925,Below Expected,610.2617060185182
Total,N/A,N/A,N/A,Expected Increase but Failed Total,16524.02276388889
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,3865.8148263888897
Total,N/A,N/A,N/A,Below Expected Drop Total,2822.736953703703
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,9512.794625
