Date,Expectation Type,Expected Value,Recorded Value,Status,Value Difference
2015-08-31,Expected Increase,394.06974421296275,-1662.6313692129625,Failed,2056.701113425925
2015-09-30,Expected Increase,876.9696331018523,-217.11017476851805,Failed,1094.0798078703704
2015-11-30,Expected Increase,2781.8929386574073,-1816.9800636574073,Failed,4598.873002314815
2015-12-31,Expected Increase,6356.487855324074,-1383.3248553240737,Failed,7739.812710648148
2016-08-31,Expected Increase,394.06974421296275,451.7234224537041,Exceeded,57.65367824074133
2016-09-30,Expected Increase,876.9696331018523,30.59428356481419,Failed,846.3753495370381
2016-11-30,Expected Increase,2781.8929386574073,301.577311342593,Failed,2480.3156273148143
2016-12-31,Expected Increase,6356.487855324074,-2550.504438657407,Failed,8906.99229398148
2017-08-31,Expected Increase,394.06974421296275,771.3683391203707,Exceeded,377.29859490740796
2017-09-30,Expected Increase,876.9696331018523,-253.02371643518393,Failed,1129.9933495370362
2017-11-30,Expected Increase,2781.8929386574073,1075.8631446759273,Failed,1706.02979398148
2017-12-31,Expected Increase,6356.487855324074,3494.289686342592,Failed,2862.198168981482
2015-07-31,Expected Drop,-1358.4079085648152,-600.8069664351849,Exceeded,757.6009421296303
2015-10-31,Expected Drop,-796.8803460648145,1694.1438252314815,Exceeded,2491.024171296296
2016-01-31,Expected Drop,-153.15886689814815,2464.709741898149,Exceeded,2617.868608796297
2016-02-29,Expected Drop,-2732.0225682870364,128.48317245370345,Exceeded,2860.50574074074
2016-03-31,Expected Drop,-1466.459769675926,-699.8331053240731,Exceeded,766.6266643518529
2016-04-30,Expected Drop,-1698.170033564815,1044.0606377314818,Exceeded,2742.230671296297
2016-05-31,Expected Drop,-1586.4848807870374,-1126.6870567129629,Exceeded,459.79782407407447
2016-06-30,Expected Drop,-617.8357974537043,-1574.1198275462953,Below Expected,956.2840300925909
2016-07-31,Expected Drop,-1358.4079085648152,563.659491898148,Exceeded,1922.0674004629632
2016-10-31,Expected Drop,-796.8803460648145,-25.928299768518286,Exceeded,770.9520462962962
2017-01-31,Expected Drop,-153.15886689814815,-957.380591435185,Below Expected,804.2217245370368
2017-02-28,Expected Drop,-2732.0225682870364,-146.30249421296276,Exceeded,2585.7200740740736
2017-03-31,Expected Drop,-1466.459769675926,701.3694363425934,Exceeded,2167.8292060185195
2017-04-30,Expected Drop,-1698.170033564815,-730.0648206018516,Exceeded,968.1052129629634
2017-05-31,Expected Drop,-1586.4848807870374,2106.9969849537047,Exceeded,3693.4818657407423
2017-06-30,Expected Drop,-617.8357974537043,2086.0182974537033,Exceeded,2703.8540949074077
2017-07-31,Expected Drop,-1358.4079085648152,-402.39213310185073,Exceeded,956.0157754629645
2017-10-31,Expected Drop,-796.8803460648145,-2107.755133101851,Below Expected,1310.8747870370362
2018-01-31,Expected Drop,-153.15886689814815,-1946.8687581018517,Below Expected,1793.7098912037036
2018-02-28,Expected Drop,-2732.0225682870364,-421.7202858796295,Exceeded,2310.302282407407
2018-03-31,Expected Drop,-1466.459769675926,-441.07593865740773,Exceeded,1025.3838310185183
2018-04-30,Expected Drop,-1698.170033564815,-753.5354247685179,Exceeded,944.634608796297
2018-05-31,Expected Drop,-1586.4848807870374,-1419.8495358796292,Exceeded,166.63534490740813
2018-06-30,Expected Drop,-617.8357974537043,-951.438077546296,Below Expected,333.6022800925916
Total,N/A,N/A,N/A,Expected Increase but Failed Total,33421.37121759259
Total,N/A,N/A,N/A,Expected Increase and Exceeded Total,434.9522731481493
Total,N/A,N/A,N/A,Below Expected Drop Total,5198.6927129629585
Total,N/A,N/A,N/A,Expected Drop but Exceeded Total,32910.63636574075
